name	parentSubtype	distanceUpperLimit	isSimpleCRF	classificationLevel	breakPoints
CRF69_01B	B	2.0%	True	CRF	2253-4321:B; 4322-4569:CRF01_AE; 4570-4962:B; 4963-5094:CRF01_AE
CRF70_BF	F	2.0%	True	CRF	2253-4015:F; 4016-4931:B; 4932-5094:F
CRF71_BF	F	2.0%	True	CRF	2253-4012:F; 4013-4912:B; 4913-5094:F
CRF72_BF	F	2.0%	True	CRF	2253-4418:F; 4419-5094:F
CRF73_BG	G	2.0%	True	CRF	2253-4580:G; 4581-4847:B; 4848-5094:G
CRF74_01B	CRF01_AE	2.0%	True	CRF	2253-2396:B; 2397-2545:CRF01_AE; 2546-2858:B; 2859-3154:CRF01_AE; 3155-3305:B; 3306-5094:CRF01_AE
CRF77_cpx	B + C + CRF01_AE	2.0%	True	CRF	2253-3009:C; 3010-3184:B; 3185-4863:C; 4864-5094:CRF01_AE
CRF78_cpx	B + C + CRF01_AE	2.0%	True	CRF	2253-2671:C; 2672-3306:CRF01_AE; 3307-3444:C; 3445-5094:CRF01_AE
CRF82_cpx	B + C	2.0%	True	CRF	2253-3795:C; 3796-4432:B; 4433-5094:C
CRF83_cpx	B + C	2.0%	True	CRF	2253-2606:C; 2607-2694:B; 2695-3795:C; 3796-4167:B; 4168-5094:C
CRF85_BC	B + C	2.0%	True	CRF	2253-2976:C; 2977-3106:B; 3107-5094:C
CRF86_BC	B + C	2.0%	True	CRF	2253-2637:C; 2638-3191:B; 3192-3507:C; 3508-4532:B; 4533-5094:C
CRF87_cpx	B + C	2.0%	True	CRF	2253-2445:B; 2446-3123:C; 3124-3934:B; 3935-4452:C; 4453-4800:B; 4801-4872:CRF01_AE; 4873-5094:C
Unknown	-	0.0%	False		-
